Unnamed: 0,Subject,Session,run,Experiment,Electrode,Rater,Method,Dimension,Coordinates,date
0.0,sub-001,ses-0,baseline,P1,Anode,Kira,half-automated,X,74.08,2023-05-17
6444.0,sub-001,ses-0,baseline,P1,Anode,Kira,half-automated,Y,-61.42,2023-05-17
12888.0,sub-001,ses-0,baseline,P1,Anode,Kira,half-automated,Z,3.59,2023-05-17
4.0,sub-001,ses-0,baseline,P1,Cathode1,Kira,half-automated,X,64.13,2023-05-17
6448.0,sub-001,ses-0,baseline,P1,Cathode1,Kira,half-automated,Y,-81.92,2023-05-17
12892.0,sub-001,ses-0,baseline,P1,Cathode1,Kira,half-automated,Z,22.88,2023-05-17
8.0,sub-001,ses-0,baseline,P1,Cathode2,Kira,half-automated,X,66.81,2023-05-17
6452.0,sub-001,ses-0,baseline,P1,Cathode2,Kira,half-automated,Y,-64.15,2023-05-17
12896.0,sub-001,ses-0,baseline,P1,Cathode2,Kira,half-automated,Z,-25.34,2023-05-17
12.0,sub-001,ses-0,baseline,P1,Cathode3,Kira,half-automated,X,80.85,2023-05-17
6456.0,sub-001,ses-0,baseline,P1,Cathode3,Kira,half-automated,Y,-34.22,2023-05-17
12900.0,sub-001,ses-0,baseline,P1,Cathode3,Kira,half-automated,Z,13.94,2023-05-17
1.0,sub-001,ses-0,baseline,P1,Anode,Kira,manually,X,74.08,2023-05-17
6445.0,sub-001,ses-0,baseline,P1,Anode,Kira,manually,Y,-61.42,2023-05-17
12889.0,sub-001,ses-0,baseline,P1,Anode,Kira,manually,Z,3.59,2023-05-17
5.0,sub-001,ses-0,baseline,P1,Cathode1,Kira,manually,X,64.13,2023-05-17
6449.0,sub-001,ses-0,baseline,P1,Cathode1,Kira,manually,Y,-81.92,2023-05-17
12893.0,sub-001,ses-0,baseline,P1,Cathode1,Kira,manually,Z,22.88,2023-05-17
9.0,sub-001,ses-0,baseline,P1,Cathode2,Kira,manually,X,66.81,2023-05-17
6453.0,sub-001,ses-0,baseline,P1,Cathode2,Kira,manually,Y,-64.15,2023-05-17
12897.0,sub-001,ses-0,baseline,P1,Cathode2,Kira,manually,Z,-25.34,2023-05-17
13.0,sub-001,ses-0,baseline,P1,Cathode3,Kira,manually,X,80.85,2023-05-17
